sensor_id,machine_id,timestamp,temperature_c,vibration_mm_s,pressure_psi,rpm,power_kw
S000001,M001,2025-01-01 00:00:00,56.72,2.505,106.47,2241.2,23.24
S000002,M001,2025-01-01 04:00:00,57.72,2.485,108.16,2185.0,35.5
S000003,M001,2025-01-01 08:00:00,57.87,2.768,106.53,2192.6,40.43
S000004,M001,2025-01-01 12:00:00,60.23,2.635,112.55,2184.3,27.1
S000005,M001,2025-01-01 16:00:00,58.11,2.507,105.99,2152.3,46.3
S000006,M001,2025-01-01 20:00:00,57.18,2.268,104.22,2234.2,13.08
S000007,M001,2025-01-02 00:00:00,56.77,2.467,107.63,2221.8,42.15
S000008,M001,2025-01-02 04:00:00,60.04,2.602,105.18,2232.1,14.4
S000009,M001,2025-01-02 08:00:00,57.39,2.274,106.4,2219.8,10.28
S000010,M001,2025-01-02 12:00:00,54.0,2.636,105.01,2203.2,23.5
S000011,M001,2025-01-02 16:00:00,57.74,2.648,109.58,2217.2,24.55
S000012,M001,2025-01-02 20:00:00,57.95,2.232,103.66,2182.1,11.48
S000013,M001,2025-01-03 00:00:00,58.07,3.06,105.42,2221.0,15.8
S000014,M001,2025-01-03 04:00:00,58.49,2.566,107.34,2177.4,40.46
S000015,M001,2025-01-03 08:00:00,59.17,2.385,108.61,2169.9,35.34
S000016,M001,2025-01-03 12:00:00,56.66,2.582,104.82,2239.6,17.46
S000017,M001,2025-01-03 16:00:00,58.13,2.466,102.7,2214.0,35.81
S000018,M001,2025-01-03 20:00:00,58.79,2.384,107.04,2207.1,15.5
S000019,M001,2025-01-04 00:00:00,56.81,2.503,107.43,2175.0,42.69
S000020,M001,2025-01-04 04:00:00,60.03,3.075,105.15,2205.7,45.89
S000021,M001,2025-01-04 08:00:00,58.37,2.723,103.33,2172.3,39.04
S000022,M001,2025-01-04 12:00:00,58.91,2.81,106.26,2237.3,10.37
S000023,M001,2025-01-04 16:00:00,58.42,2.424,109.54,2226.1,36.08
S000024,M001,2025-01-04 20:00:00,59.08,2.376,104.3,2178.0,39.86
S000025,M001,2025-01-05 00:00:00,59.43,2.65,107.45,2268.8,13.75
S000026,M001,2025-01-05 04:00:00,55.93,2.413,107.56,2204.7,35.25
S000027,M001,2025-01-05 08:00:00,58.0,2.858,105.27,2293.5,17.81
S000028,M001,2025-01-05 12:00:00,56.54,2.762,105.89,2207.8,17.08
S000029,M001,2025-01-05 16:00:00,57.65,2.71,106.75,2209.7,48.54
S000030,M001,2025-01-05 20:00:00,57.3,2.722,107.89,2201.7,22.68
S000031,M001,2025-01-06 00:00:00,58.3,2.318,106.15,2223.5,32.8
S000032,M001,2025-01-06 04:00:00,58.33,2.405,107.92,2213.5,39.63
S000033,M001,2025-01-06 08:00:00,59.61,2.778,103.05,2183.8,42.37
S000034,M001,2025-01-06 12:00:00,58.44,2.618,105.85,2238.1,30.06
S000035,M001,2025-01-06 16:00:00,58.84,2.794,107.71,2231.5,45.6
S000036,M001,2025-01-06 20:00:00,56.25,2.267,106.13,2186.2,11.44
S000037,M001,2025-01-07 00:00:00,61.45,2.194,107.18,2163.5,11.22
S000038,M001,2025-01-07 04:00:00,56.64,2.5,108.92,2215.8,18.63
S000039,M001,2025-01-07 08:00:00,56.89,2.61,105.89,2192.4,31.63
S000040,M001,2025-01-07 12:00:00,60.03,2.733,105.83,2225.2,22.92
S000041,M001,2025-01-07 16:00:00,56.99,2.737,104.22,2208.5,11.01
